productId,cloverItemId,nameFr,hadImage,tier,method,imageFile,imagePath,action,imageUrl
5ea5b6a0-e301-46a6-a785-430820e89984,AZXD7WM21VMBT,Z168 TurtleMatic Automatic Feeder,true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/AZXD7WM21VMBT.jpg
3284339d-62e6-4547-94ea-502a7672865d,VS64FJ10WJR0C,Z169 Turtletherm Heater 50W (15GAL),true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/VS64FJ10WJR0C.jpg
3e6aec8d-6582-4098-a026-97801e92ed05,QV37PC41EY3NW,Z169A Turtletherm Heater 100W (30GAL),true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/QV37PC41EY3NW.jpg
b6b60cf9-312f-4af1-a18a-8372bb373350,4RTGA1JHKS3MP,Z169B Turtletherm Heater 150W (50GAL),true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/4RTGA1JHKS3MP.jpg
ecd4527c-655b-4b40-87d1-de863baec7d3,P1SZKX57GBJNC,Z169C Turtletherm Heater 300W (100GAL),true,none,existing-image,,,skip_existing,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/P1SZKX57GBJNC.jpg
5fe05dfa-5c33-471b-ad0a-42261d4542ea,DS0R2H3W2QV54,Z170 Repti Reservoir,false,low,category:Decoration,Habba-Hut-M.jpg,Cage Furniture jpg/Habba-Hut-M.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/DS0R2H3W2QV54.jpg
ebaffa3c-4d36-4ac5-8672-81eb0c6a7a71,ZCYFWQCBCTQCW,Z171,false,high,zlookup:Z171,ZM-170-097612401707-Cricket-Care.jpg,Foods jpg/ZM-170-097612401707-Cricket-Care.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/ZCYFWQCBCTQCW.jpg
9f2ee50e-2fdc-4147-96c8-38e9f5ecb9a8,QPV8CZEZRGP2C,Z172,false,high,zlookup:Z172,LF-19-Combo-Lamp.jpg,Hoods & Screen Covers jpg/LF-19-Combo-Lamp.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/QPV8CZEZRGP2C.jpg
1faaab7f-42e0-4bff-a860-51202d1c20de,775XC2YXE2BF0,Z173,false,high,zlookup:Z173,LF-28-097612322286_Combo.jpg,Hoods & Screen Covers jpg/LF-28-097612322286_Combo.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/775XC2YXE2BF0.jpg
c0fddd8e-0ff8-44af-b1fb-027c6ccc3892,6PV0Y8BQ6TT6M,Z174,false,high,zlookup:Z174,FD-20_grn_097612921205.jpg,Terrarium Accessories jpg/FD-20_grn_097612921205.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/6PV0Y8BQ6TT6M.jpg
a00255f6-2be7-4ebc-b199-084bfb68c790,BBP61QY8MA4XT,Z174L,false,high,zlookup:Z174L,FD-40_grn-097612921403.jpg,Terrarium Accessories jpg/FD-40_grn-097612921403.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/BBP61QY8MA4XT.jpg
08c83679-3b99-4428-a889-9a4e27cb7b6d,70CEV2BP5BHNA,Z174M,false,high,zlookup:Z174M,FD-30_gray-097612921304.jpg,Terrarium Accessories jpg/FD-30_gray-097612921304.jpg,uploaded,https://fdz83n9nk6ltlfo9.public.blob.vercel-storage.com/products/70CEV2BP5BHNA.jpg
