row_id,source,cloverItemId,siteId,name,cloverCategory,siteCategory,queueStatus,recordType,confidence,suggestedCloverCategory,suggestedSiteCategory,priceCAD,stockQty,published,hasImage,hasDescription,brand,cleanNameFr,recommendedAction,reason,notes
16,site_product_clover,ZFHXFXGNFW224,42a4f839-08b7-4635-99f1-55a63347ad7a,PT2255 Faunarium ExoTerra  (petit),Habitat,terrarium,created,product,high,Habitat,terrarium,9.99,0,no,no,no,Exo Terra,Faunarium ExoTerra  (petit),enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
17,site_product_clover,GM2PARY3M7AYR,c1bdc004-531d-45ff-ad77-e7efef8cd4f0,PT2260 Faunarium Exo Terra (moyen),Habitat,terrarium,created,product,high,Habitat,terrarium,19.99,0,no,no,no,Exo Terra,Faunarium Exo Terra (moyen),enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
18,site_product_clover,T8EJ90FN4J90P,b0ef0e07-f636-457d-a783-6f74af550ebc,PT2265 Faunarium Exo Terra (grand),Habitat,terrarium,created,product,high,Habitat,terrarium,25.99,0,no,no,no,Exo Terra,Faunarium Exo Terra (grand),enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
19,site_product_clover,Q9DRMZJW7611Y,0040b23c-c616-4782-92f0-5222eb1aa575,PT2280 Exo Terra Boite de Reproduction Grand,,terrarium,created,product,high,Habitat,terrarium,34.99,0,no,no,no,Exo Terra,Exo Terra Boite de Reproduction Grand,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
20,site_product_clover,EN6F0QHZTEJ9C,218f84db-1989-4917-8fd0-bc3e1fc1418a,PT2285 Habitat pour Grillon (petit),,terrarium,created,product,high,Habitat,terrarium,18.99,0,no,no,no,Exo Terra,Habitat pour Grillon (petit),enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
21,site_product_clover,3TGTGR06FRQ2Y,698359bb-35c1-49fb-8f23-ebf6a46069a3,PT2287 Habitat pour Grillons (grand),Habitat,terrarium,created,product,high,Habitat,terrarium,33.99,0,no,no,no,Exo Terra,Habitat pour Grillons (grand),enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
22,site_product_clover,8956XQPP1Y1H6,d9303283-e8ac-4826-aa76-bff2d3bfcfc0,PT2300 Faunarium Plat  avec Séparateur (moyen),Habitat,terrarium,created,product,high,Habitat,terrarium,21.49,0,no,no,no,Exo Terra,Faunarium Plat  avec Séparateur (moyen),enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
23,site_product_clover,FVBTV5MT0F7QR,e8b39b80-70a9-4d34-ac0a-747e45298005,PT2301,,terrarium,created,product,high,Habitat,terrarium,29.70,0,no,no,no,Exo Terra,PT2301,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
24,site_product_clover,FHFXEDKGEDV1W,866e5781-218d-437c-9034-352e62858c2a,PT2310 Exo Terra Faunarium Flat Home (Large),Habitat,terrarium,created,product,high,Habitat,terrarium,35.99,0,no,no,no,Exo Terra,Exo Terra Faunarium Flat Home (Large),enrichir luego publicar,Mapeo directo Clover → sitio (sin cambiar Clover),
25,site_product_clover,BVJ8Z8938RQK2,3d67f282-30cd-4440-8319-1899ea6644ec,PT2334 ExoTerra Solar Glo 80W,,terrarium,created,product,high,Habitat,terrarium,72.00,0,no,no,no,Exo Terra,ExoTerra Solar Glo 80W,enrichir luego publicar,"Patrón nombre → Clover ""Habitat"" / sitio ""terrarium""",
